word 	count	meaning	 posone 	 postwo 	 sentence 
palad	11	1 palm 2 fate	n		 Pagpili hin sinsero ngan tangkod nga kandidato 5 Ayaw na kita palipat ngan utro pauwat Taginting han salapi ayaw paghilanat Tagan ta hin doon iya kapasidad Mamuno hin tangkod ngan gobyerno nga ayad 1 Marayhak nga adlaw mga kasangkayan Ha mga bisita ako makikigsumpayan Kaupod hi lola,lolo ngan kabataan Una han ngatanan diyos aton pasalamatan 2 Inin akon siday usa la an tadong Sistema ekolohiya hingadayan naton Inin kalibutan pinupuy-an naton Agsob kalamidad na abot ha aton 3 An mga molopyo narerema dema Kun masugot ka la magka urosa kita Ha bug-os nga nasyon pagdadayawon ka Pati sunod nga henerasyon ma benipisyo pa 4 Una nga tutukibon an pagtaga basura Kemikal,botelya,plastic ug lata ibutang iba-iba Maduronot ug dire paglain lainon na Ha urhe nga panahon kita marayhak pa 5 An mga basura I resaykol naton Utro nga pag gamit sugad permi hiton Agud maka menus,utro repormahon Paglabog bisan diin ,sangkay pudngan naton 6 Katalwasan han kalibutan,aanhi ha aton palad Kun uupayon pag gawi,han aton propriyedad Ayaw pag abusoha kakahoyan,hangin ug kadagatan ta basi ha kalamidad,may pamugong kita 7 Aton siplatan, an aton kadagatan Kontaminado ngan mahugaw ,adton katubigan Adton laman dagat,guba na an urokyan Kun an makagarahom umuba kita makain pa man
pamaagi	11	procedure; method; methodology; style; strategy; system; technique; way	n.		 Ini nga pamaagi hin pagsurat, gawas han iba nga porma, asya an sinupohan han mga batan on mga magsusurat
pamiling	11	to look for something; make an effort to look for something	v.		 Pero, waray ako kalibutan nga dida ha imo ginhulog kay an sugo ko hiya pamiling han akon portuna
pananglitan	11	example	n.		 An “Baga Durogas ngan Baga Tinuod” ni Iluminado Lucente an usa nga pananglitan
panhunahuna	11	1 mind; thinking 2 think about	n.	v.	 Sinurat an damo nga ira mga siday basi makiglantogi o manlatigo han nalihis nga panhunahuna o pamatasan
radyo	11	radio	n.		 An pamahaw ha Samar og Leyte permi binabahogan hin mga sumat tikang ha telebisyon o radyo
serbisyo	11	service	n.		 Tinuha an DYVL alid agid han pilosopiya han MBC—an balanse nga paghaon hin mga taramdan—mga sumat ug liaw libang, mga hitabo og serbisyo publiko, mga komentaryo, musika ngan drama
suhag	11	first born child; eldest	n.	mod.	 \tGen 4 4 Ngan hi Abel man nagdara tikang han mga suhag han iya panon ngan han matambok hiton
sul-ot	11	1 wear; apparel; garb; regalia 2 to  wear something; to put on clothes	n.	v.	 Pag-abot ngadto ha talimpongayan kay didto tutubong an pikoy han iya mga piso, pamuruton an gamit han hadi, sul-ot tanan hasta kappa, piloon an iya buhok, magkorona ngan dumalagan
tatagan	11	1 will be given with something 2 the person that will be given; recipient 	v.	n.	 Kay an aton Ginoo amo gud an parapanhatag—kun ano an imo aroon, tatagan ka
tugon	11	advice; caution; behest; charge; mandate; dispatch; correction; commission; message; order; warning 2 to give instruction; to advice; to direct; to enjoin	n.	v.	 Paghinganhi niya ha tuna, ginsiring niya, “Ginsugo ako han aton baga mahal nga Diyos, an tugon niya ha akon amo ini Tikang kuno yana nga adlaw, kamo nga mga tawo dinhi ha kalibotan, ha tuna, it’ iyo pagkaon, tutulo ka beses kada usa ka adlaw
tunog	11	1 to play 2 tone; sound; noise	v.	n.	 An pag ayad hin usa ka stanza* tag upat o tagduha nga linya han kadaan nga pagsiday may sukol og may tugma o magpareho nga tunog ha kada kataposan han duduha o uupat nga linya
umuli	11	1 to return home; to return a borrowed thing; 2 to clean oneself; to wipe the anus	v.		 Waray hiya umuli hat nga gab i
ungod	11	true; credible	mod.		 Nakatalwas gad ako hit nga akon tigdaay nga pag emcee, pero adi la gihap an kaawod ha akon kalugaringon nga bisan ako nga ungod nga Waraynon, banyaga nga dila an nahigaraan
wa-ray	11	nothing; none	n.	mod.	 \tGen 13 13 Niyan an mga taga-Sodoma mga dautan ngan magpakasasala hin wa-ray kapin, patok ha Dios
yakan	11	1 to utter; to assert; to say 2 language; expression	v.	n.	 Iya ini baton han yakan ni Rizal nga, “It kamatay, pagpahuway”
asno	10	ass; donkey	n.		 \tGen 16 12 Ngan hiya masusugad hin ihalas nga asno ha butnga han mga tawo
atbang	10	1 in front or, across the street 2 to be in front of another	n.	v.	 May bubon didto han harani han amon kodal ha atbang han balay
baho	10	odor; smell	n.		 Upod han alingogngog, alisngaw, ngan dirudilain nga baho han 12 tawo, ginpipipiris ok an manarakay ha sakob
balitaw	10	(clitic particle class 7) indeed; var. balit\\\'			 ” Pero kay balitaw ayon niya
binalik	10	1 encore; 2 returned	n.	v.	 Ginkinita ko ini, ngan kalit la nga may binalik ha akon hunahuna kay magkapareho an hitsura han munyeka hadton amon anay kasapit hin balay nga hi Anna
bintana	10	window	n.		 ” Sige hiya’n trabaho, ini nga hadi naghihiniling dida han bintana ni Pedro
buhata	10	 (imperative) to do; to labor; to make; to manufacture; to perform; to produce; to undertake; to work	v.		 Ngan kon waray mo buhata an maopay, an sala aada ha ganghaan
daw la	10	wonder what, when, how	cli.c2.	cli.c3.	 “Ano dawla kun nasabot ba hiya han makaarawod nga kamatuoran han akon pagkatawo
dayuday	10	slowly; little by little	mod.		 Ha sulod han baynte kwatro anyos, ini nga taramdan han DYVL an nagdepender og nagpanalipod han Waraynon nga literatura tikang han dayuday nga kaanaw hini
dinalagan	10	ran (subject focus)	v.		 ” Namahid hi Isa han iya luha ngan nakatawa katapos dinalagan para magmulay kan Barbie
ginagamit	10	being used; is used	v.		 Yana, an ngaran nga siday ginagamit na para pagtudlok han tanan nga klase ngan porma hin pagsiday— tradisyonal man o moderno an istilo
gin-ngaranan	10	was named	v.		 Asya iton nga gin-ngaranan hin Tanauan
ginpatay	10	killed (object focus)	v.		 Ginbuno ha kilid, ginpatay hin husto Tungod la han birtud han kapintasan ko Kay an kapintasan ko baga waray tangkod Bisan it matalaw pirit nagmamakusog
ginsumatan	10	was told	v.		 Iya ako ginsumatan kun diin hiya nakadto kada kulop nga an pagkasabot han iba namamaligya la hiya ni sigarilyo ngan mani ha paradahan
gudtiay	10	small; little; tiny	mod.		 Hadto han gudtiay pa kami, an akon tatay may kasangkayan ha Kabakongan
hahani	10	here (restrictive)	mod.		 sanglit amo ini nga an kasakitan hahani ha aton
harigi	10	post; main house post; column; pillar; 	n.	mod.	 Maaram ako nga nagkukuri hiya pero ipinapakita niya nga harigi hiya nga amon matatapuran
higot	10	1 tamed; trained 2 cord; rope; strap; string; 	n.	v.	 Hiya an nakapot han higot
higugmaon	10	1 loved; esteemed; dear; precious 2 sweethear 	v.	mod.	 ” \tAda, ha laktod nga sumat, sumiring an lalaki, “ kun higugmaon mo ini nga akon uyagan, balyo a hiton imo kamison
himaya	10	glory	n.		 Kon nadangat na an gab i upod an kamingaw Labi kon nabati han huni han kalaw Pagpurak han sidlangan, pagpuni as han adlaw Pagkalpad han maya, dinumdom ko ikaw Ginhingyap ka han inagi nga adlaw Ug an himaya nga hingpit gayud
hinigugma	10	beloved	mod.	n.	 \tMar 1 11 Ngan inabut in usa nga tingug tikang ha langit Ikaw amo an akon Anak nga hinigugma
hit'	10	that; those; visible/near the hearer (contraction of hiton/ hito nga)	pro.d.		 pero dre ito basehan para d ak makabuhat hn dako na butang na ikakaupay ht ak igkasi tawo sakto ka, diri iton edad it basehan hiton katungdanan na na magbuhat hit ikaupay hit kadam-an
hunong	10	stop	v.		 Buot sidngon, hunong
istasyon	10	station	n.		 May pipira nga istasyon hin radyo an padayon nga nagseserbi ha kapuropud an han Sinirangan Bisayas—Samar, Leyte ngan Biliran
kahimtang	10	situation;state; being; condition	n.		 Maoobserbahan—subay hinin akon pagsaysay—nga ini nga kahimtang may dako nga epekto ha kalidad han nagkakagawas ngan han binabasa nga Literatura ha Waray
kamatay	10	1 death; demise; extinction; mortality 2 to die; posthumous	v.		 ” A da, kay hiya an nauna kamatay kay sige nga iya usop han tubig, dinmako an iya tiyan
kamatayon	10	death	n.	mod.	 Kay it tubig hit aton kultura Winaray nga natatambak, tubig nga diri na naawas, nagigin hinungdan hit kamatayon – kamatayon han aton kultura ngan yinaknan dara han mga lamok nga kita la gihap an nagpadako
kapatagan	10	field;plane	n.		 \tGen 2 5 Ngan waray pa tanum ha kapata-gan nga nakada han tuna, ngan waray tanum ha kapatagan nga nanlalabti
karabaw	10	carabao	n.		 Ini, tungod liwat ini han karabaw
karuhaan	10	twenty	num.reg.		 Narumpag ini nga ira pagtipa dara han higayon, impluwensya ngan panginahanglan han nasud basi makalanat han karuhaan nga siglo
kaso	10	case; matter	n.		 Nagpipinamati hiya han kondisyon nga kun kaso magsala, pamamatayon ini nga kabataan, an inay nakasabot nga ini nga duha nga gwardya iya gud mga anak,hasta nga nag umagahon, an inay nagplano, nga tanan didto pinangogkay, mga kabinet, mga papel, nga tanan hasta an iya bado, pagka aga, kahuman han sarayaw, abot na an kapitan ngadto han barko, saka, reklamo diretso, ginpirowisyo ako hito nga duduha nga gwardya, kitaa la iton pamisti
katamsihan	10	birds	n.		 Adto na’n adlaw, nagligidligid Didto huhuron, luyo han bukid Bunyog panguli an katamsihan Nahadlok bangin magab ihanKon harapit na an adlaw matunod Ngan ha imo hirayo ako Naputok an kakulba ha dughan Ngan kamingaw asay gud dako
kilala	10	known;  well-known; famous; notorious	mod.	v.	 Humagos an panahon, nagin kilala hiya nga newscaster
kinaadman	10	wisdom	n.		 ’ May kalabotan ini han yayaknon nga may kaanyag, kamabihagon, og kinaadman
kinahanglanon	10	needed; necessary; vital; important	n.	mod.	 Bisan di mo kami kinahanglanon dara nga maaram kami nga nagsusulwak ka hin kusog, aadi kami kay kami it nanginginahanglan ha imo
kinilala	10	recognized; known; identified	v.		 Lugod, kinilala han mga Waray an panginahanglan han tawo han relihiyon, manggud, diri na importante kun ano ini nga klase, an importante iya ini nauulian ha panahon nga magpalya an mga intelekwal og legal nga instutosyon han tawo, upod na an panhunahuna han tawo
kumaon	10	ate (subject focus)	v.		 Ayaw gad pagsak i, Lubi lubi Kon maruruyag ka kumaon hin silot Didto la nga didto la Kan Nanay nga didto la
kumita	10	see; look; watch; observe	v.		 An ira nauusahan, gin oobserbahan han mga tawo, maupay kumita kun gab i
kumuha	10	took something in the hand	v.		 Pero, dida han naglabay nga adlaw, pinmakiana ako han akon batá kun kumusta an Barugo
lawod	10	1 deep sea; ocean 2 water	n.	mod.	 Waray na balud inin lawod ko Hain na an mga haplas mo
mabuhi	10	to live; will live	v.		 Manurubos it usa katawo kun it iya t uo mabuhi an tribo han iya microculture, bisan diri tagdon hit taga iba nga tribo or mga tagagawas
maghahatag	10	will give; will provide	v.		 Ako an maghahatag han angay nga rason Hadto’n mga tawo nga kulang han balor Pero kun pataksan an iyo pag inom Napakalaboso ngan ha tuna nalunoon
makaagi	10	will find (something); will be able to find (something)	v.	mod.	 Didto hiya bukid, kun makaagi hin prutas, makakakaon
makanhi	10	will come	v.		 Diri ba an pulong nga “pag ukoy” nagpapasabot nga ugsa an usa nga tawo makanhi ha kalibutan—diri hiya naukoy, naglalakaton hiya or in motion
makikit-an	10	will be seen	v.		 Kahuman han bagyo, maagahon na, makikit-an nga inin tubig ha dagat nagsugat ngan han tubig ha huron
malipayon	10	joyful; blissful; cheerful; delightful; happy; joyous	mod	n.	 ” amo an malipayon nga baton han lola
masiring	10	will say; would say	v.		 An Winaray, timasa la ito, masiring kita
maupud	10	will go with someone; will accompany	v.		 Gen 24 58 Ngan ira gintawag hi Rebeka, ngan siniring ha iya Maupud ikaw hini nga tawo
nagamit	10	consumed; utilized 2 uses; utilizes	v.		 Matungod nga nagamit manggod hin boses an radyo—ngan waray pa makaugsad tikadto han panahon han pag imprenta—nagin lugar hiya han mag upay mamagoratoryo ngan deklamasyon
naghadi	10	reigned; ruled	v.		 ” Amo ito, naghadi hiya hin kamadugayan na
naghuhulat	10	waiting	v.		 Ha igbaw hini natungtong it bantay ngan naghuhulat ngan nangingita
naglalakat	10	is walking; was walking	v.		 Dida han sentensyado na hira, naglalakat na ngadto han pagpapatayan, rumeklamo an lalaki— \t“Mahal nga hadi,kun mahihimo, kay total mapataya man kami ayaw kami papagtabasa
nakadungog	10	was able to hear	v.		 Hin makaradlok liwat, baga nakadungog liwat ako hin istorya didi
nakikit-an	10	is seen	v.		 Amo adto an amon nakikit-an nga mga idro didto ha igbaw
nakuan	10	anything happened; something happened; from the root \"kuan,\" a word used by a person when he/she can\'t remember or, can\'t immediately verbalize what he/she wants to say	v.		 Amo nga nakuan ako
napausa	10	was amazed; was surprised	v.		 It tinood nga mangulo hit usa ka tribo/organisasyon napipilian kay dako it pagtapod ngan pagtu o ha iya an guti ay mga molopyo
nasina	10	irritated; angered	v.		 Agi daw, nasina daw ini nga buwaya
ofw	10	Overseas Filipino Worker	n.		 Agosto 2011 OFW Han bata pa ako, yakan nimo ha akon, An pinakaharayo nga lugar \t\t\t\tAn langit
okey	10	accepted; acceptance; nod; approved	v.	mod.	 An raysang nga mayda man ngani ulohan Pero buot waray man tinipigan Sumulod ako hin usa nga palasyo Mayda hagdan nga tikadto han trono Mabati ka han huni han kamingaw Puro bulawan bisan diin ak tumukdaw Diri ko ibabalyo balay nga payag Waray man trono, mayda man papag Bug-os nga pamilya nagbubugi-ot Ok la basta malipay ngan nagkakatitirok Halad ko ini nga halipot nga siday Ha buotan ngan mahusay ko nga Nanay Dida han Guerra Mundial Numero Dos Nagtikang na an iya pag-inantos Tatay ngan gudtiay nga kabugtuan niya Nadisgrasya tungod hin usa nga bomba Nawara an harigi han panimalay Nagkinasakit pa an iya nanay Waray man panluya an akon Nanay Diri na maaram bisan pagpahuway Bug-os nga kalibutan paras-anon niya Bata pa nahibaro na pangalayon hiya Maupay may dada nalo-oy intawon Pina eskwela hiya kurso nga Education Daraga pa nag ma-estra na hiya Para mabuligan mga kabugto-an niya Waray katapos ini nga pag-antos Bisan may pamilya na dire nauubos Namata hiya ha aga hin timprano Para maglimpyo ngan mangalayo Magpapaka-on anak nga wawalo Dugangan pa hin usa katarba nga apo Oo man ngani bulig niya hi Tatay Sayod kita sweldo ha gobyerno guti-ay Tikang ako ha disyerto han mga arabo Naglinakat ha isla han mga chamorro Mga Waray-Waray nakakasugat nakon Usa la an ira paki-ana ha akon Ano mo hi Misis ALCARAZ ha DWU
padre	10	priest	n.		 \tNiyan, babalikon ta an pag inayurar, linmabay na liwat ini nga barko, paduong dida han pantalan, Kapitan, kombidado ko ikaw han Lunes, kinahanglan umatinder ka, kun di ka umatinder di ko ikaw paduduongon hiton amon pantalan, Oo, mayor maatinder gad ako, paduonga la ako
pagdara	10	1 to carry 2 treatment	v.		 Danay matapo an iya kasangkayan para buligan hiya pagdara han iya mga nanhinpukotan
pangpang	10	brink; edge (of a cliff); bank (of a river)	n.		 Pagkita niya, waray niya hinkikit an nga tawo, dida han tungod na han pangpang han salog an barko, basta kay pwerte hin kadako hin barko, asay niya hinkit an an letra nga “Between Barugo & Carigara
panuyo	10	1 objective; purpose; endeavor 2 to do purposely	n.	v.	 Waray niya panuyo magtutdo hin moral, diri hiya nag aaghat ha aton nga pagtimbangon kun hin o an sayop ngan tama, hin o an angay sirotan ngan pasidunggan
raysang	10	nail	n.	v.	 kanawong ka la \'tim nanaDiin ka pakaka agi hin balay nga waray raysang kundi gugma
sako	10	sack	n.		 Pag-anak nira duro nga nakaon, an usa ka sako ambot kun mabuwasan
sumulod	10	entered	v.		 Nangamen hiya ha ira tanan bag o sumulod ha balay
taga-baryo	10	from the barrio	n.		 LYSISTRATA Upod na gihapon an mga taga-Baryo Aringit
tag-iya	10	owner; proprietor	n.		 An mga tawo didto kay waray pa man tag-iya hini didi, kun hain la hira nakaruyag pag-ukoy
tama	10	1 correct; right ; appropriate; enough; exact; fitted 2 to hit	mod.	v.	 Di ngani, pinaagi han ira kalugaringon nga gahom, dadayawon nira in usa nga masinugtanon nga anak, an mahinigugmaon og maataman nga iroy, daraygon nga tawo, matinumanon nga bana, ngan damo pa nga iba, mga gawi nga kinikilala han sosyudad nga angay og tama sumala han ira kinadak an nga kalibotan
uran	10	rain	n.	v.	 Adto nga pasalida ikanalipay han mga Palon on bisan sige an uran uran hadto nga gab i
uraura	10	very; very-very	mod.		 kay uraura ka mabaskog an gutum ha tuna
aanhon	9	how  (will one do something?)	v.		 Kundi, aanhon man, kaluoyan kay di maaram magsiring
agta	9	1 negrito; a black man 2 a short and small spirit that lives in the trees	n.		 May ‘da niya surugoon nga agta
away	9	quarrel; fight	n.	v.	 Nakikig away naman hi Sumigin, api an iba nga kalalakin an ha ira tribo
ayam	9	dog	n.		 Hinkit an iton, may ayam didto
bagyo	9	tropical storm	n.		 May bagyo pero diri makusog an bagyo
balon	9	1 food for a trip/office; spending money; meal 2 to take with; to take on a trip	n.	v.	 \tGen 42 25 Niyan hi Jose nagsogo ha pag-pasulud han ira mga surudlan hin trigo, ngan pagpauli han kwarta han tagsa ka tawo ha iya sako, nga ha paghatag hin balon ha dalan ngan sugad hini ginbuhat ha ira
batasan	9	manner; custom; habit; character	n.		 Baga gud ini hira hin natindog ha may pulpito diin mayda nira katungod manlapdos han hin o man nga may maraot nga ginawian—magpakasasala nga kag anak, pabaya nga bana, hubya nga asawa, suwail nga anak, di maupay nga magturotdo, kurakot nga mga politiko, waray batasan nga traysikol drayber, bisan hin o nga makikit an han matadong ngan takos ha ira mga mata
buruhaton	9	things to do; things to be done; tasks 	n.		 Mabutlaw an iya mga buruhaton pero di hiya ginkakapoy
dad-on	9	will bring	v.		 Sinmiring an Amoay, nga niya, “Hangagay, dad-on ta ini nga saging kay pagtamnon ta
dagway	9	face; shape; feature; form; appearance	n.		 Ngan hi Kain nasina hin duro, ngan an iya dagway nabalhin
dahon	9	1 leaf   2 page	n.		 Tinawag nga “rahondahon” petal an rahondahon han bukad kay alid agid ini hin dahon
duyog	9	condole; to accompany;  to sing in harmony with; to play in harmony with	v.		 Salamat tatay han imo pag duyog han ngatanan nga akon kalipayan ngan kabiduan
ekonomiya	9	economy	n.	v.	 Maaram hira mag ekonomiya ngan maaram han tubtoban han ira pinili nga hinihisgotan
eskriba	9	scribe	n.		 kay hiya nagtutdo ha ira sugad hin may ada pagburut-an, ngan diri sugad han mga eskriba
halarom	9	deep; profound	mod.		 ” Kasinahon man hini nga amo, kay waray hiya pakakadaop kay halarom an tubig
hapit	9	1 almost; nearly;  near-at-hand 2 to drop in; stop by	mod.	v.	 “Idoy, dad a kami ngadto ha Kalye Naga, Pero ha Kalye Apitong, hapit anay kita
haplas	9	to rub; to smear with oil; to massage; caress	n.	v.	 Waray na balud inin lawod ko Hain na an mga haplas mo
himo	9	to make; to do; to compose; to create; to construct; to forge; to establish; to fabricate; to manufacture; to originate; to produce; to fashion	v.		 Pagsaysay pa ni Lebico nga labot pa han kawaray permit naghahadi hadi pa an mga dagko nga kompanya hin mina nga naabot ha punto nga ginpupudngan han ira mga armado nga guardya an mga gudti nga mga nag mimina ha lugar, ginharangan an mga aragianan pakadto ha minahan, ginkokontrol an pan presyuhan han chromite ngan an mga nareklamo nga mga trabahante, supplier ngan barangay opisyal in gintatarhog, ginpapa blotter ngan may ada na mga ginpankasuhan hin mga hinimo himo nga kaso
iginbaligya	9	was sold	v.		 ” \t \tHala gad daw kay may iniagi nga negosyante, iginbaligya ini nga babayi ni Juan
iginsugo	9	sent for something; tasked to do something; ordered; commanded; dictated; directed; obliged	v.		 \tGen 7 5 Ngan hi Noe nagbuhat hin sugad ha ngatanan nga kanan Dios iginsogo ha iya
iginyakan	9	was spoken; was revealed; was uttered	v.		 \tGen 12 4 Sanglit hi Abram linakat, sugadhan iginyakan ha iya Dios
imbis	9	instead	l.		 Nalihis an iya panlapdos, imbis nga an insik an paglatigohon, an mga taga Manila asay ginhimurangtan, rason niya—mapuputo kan Herodes ini nga mga kainsikan kun malimpyo nga pagkaon an ira ibabaligya
impluwensya	9	influence	n.		 Narumpag ini nga ira pagtipa dara han higayon, impluwensya ngan panginahanglan han nasud basi makalanat han karuhaan nga siglo
inulang	9	1 thread; yarn 2 to hindered	n.	v.	 Ini nga libro an inulang han magkadirodilain nga at’ kaagi
kaaway	9	enemy	n.	mod.	 Pero an mga sumat ha telebisyon diri apiki ngan diri sugad kasuok han mga sumat ha radyo diin mahibabatian an mga kagulalang ha kinabuhi ni Polano og Polana, mga uropod, sangkay, kontra og kaaway ha politika
kablas	9	poor; needy; indigent;  pauper; destitute	n.	md.	 “Nananawagan an sektor han mga parag uma ha rehiyon ha gobyerno ni P Noy nga igpatuman an moratorium ha mina ha bug os nga isla han Samar, igkansela ngan diri na mangarawat hin mga permit ha mina ngan tagan hin maupay ngan sustinable nga pakabuhi ngan mga batakan nga suporta sosyal  an  mga kablas nga parag uma ngan katawhan,” pagtatapos ni Lebico
kabukiran	9	mountains; highlands; hills	n.		 ngan an ngatanan nga mga higtaas nga kabukiran ha ilarum han bug-os nga langit nagkaaapo
kabutang	9	arrangement; position; situation;state of things; condition	n.	v.	 Katikas, nagproblema an itay ngada han duduha nga bata, dida hito nga problema nira kay makuri manggod an ira kabutang nagsering an itay, panguli kita
kadaan	9	old; obsolete; ancient	mod.		 Nadisgrasya, may umagi nga barko kay isla man, ginkinampay ito kay magbabaligya hiya’n kwentas, o ibabalyo hin bugas, dumuong an barko, pagduong kuhaon niya an kwentas, ngalaong, ibabaligya ko ini, o sino man balyoa hin bugas, mga de kantidad, puro mga kadaan pa
kagutum	9	hunger; famine	n.	mod.	 \tGen 26 1 Ngan mayada kagutum ha tuna, labut han siahan nga kagutum ha mga adlaw ni Abraham
kairo	9	in a pitiful condition;  2 what a pity!	mod.		 Kay kita ngahaw an kairo han aton mga binuhatan
kanding	9	goat	n.		 \tGen 15 9 Ngan hiya siniring ha iya Kuha-an ako hin nati nga babaye nga baka tolo ka tuig an panuigon, ngan hin babaye nga kanding tolo ka tuig an panuigon, ngan hin lalaki nga karnero tolo ka tuig, ngan hin usa nga tokmo, ngan hin usa nga piso pa nga sarapati
karaonon	9	food; eatable; comestibles	n.		 Gen 41 35 Ngan papagtirokon hira han nga-tanan nga karaonon nga maabut hinin mga magopay nga tuig, ngan pagtirokon an trigo ha ilarum han kamot ni Paraon nga makakaon han mga bungto, ngan papagbantayon hira hini
kasi	9				 Diri dinhi han Ambaw kay haraniay man la it Ambaw, hiraniay man la it’ dagat nga, an didto gud ha Tolosa, kasi punta na iton ngadto ha Abuyog
kasubo	9	grief; sadness	n.		 Asya siguro mayda kasubo ha akon hunahuna
kaurog	9	majority; many; most; mostly	mod.		 An tema han mga siday kaurog bahin han mga hitabo ha kinaadlaw
kawayan	9	bamboo	noun		 Ako magtatanom lawiswis kawayan Akon la kan pikoy palataylatayan Sabahis nga pikoy ka waray batasan Sinmulod ha kwarto, kan inday higdaan
kulop	9	afternoon	mod.	n.	 Sugad hiton, kay hira nagkakalakat kun kulop na
ladawan	9	portrait; picture; effigy; image	n.		 Amo ini an ginbasehan han pagpintura hin mag upay  nga ladawan
layong	9	1 dry coconut leaves 2 to dry; to wither 	n.	v.	 May anak hiya nga babaye nga nagngangaran nga Layong Uray
lupad	9	fly	v.		 Lupad dayon ngadto
maabut	9	1 to reach; to attain; obtain 2 will reach; will attain; will obtain	v.		 \tGen 11 4 Ngan hira siniring Kadi, pagtu-kud kita hin bungto, ngan hin balu-arte, nga an iya ugbusan maabut ha langit, ngan paghimo kita hin nga-ran, basi diri kita pagsarangon ha kahigrayo-an ha bawbaw han bug-os nga tuna
magigin	9	becomes; would be 	affix		 Voltaire Oyzon tikang han akon maupay nga kalingkod ngan ginyaknan ako nga ako an magigin emcee ha programa han syahan nga Katig han Sinirangan Bisayas 2012 Regional Taboan ngadto ha amon eskwelahan, an Leyte Normal University LNU
magraut	9	1 to become ugly 2 persons with ugly character	v.	n.	 An magraut ug magtalumpigos, mga kaaway niya.
mag-upay	9	things done well or, beautiful (plural)	n.	mod.	 An iba, mag-upay gud adto an ira
makakaon	9	be able to eat	v.		 Ngan bisan ngani pati it’ imo lawas ipakaon gihap ha ira, kay para hira makakaon hin tulo ka beses kada usa ka adlaw
matadong	9	just; up right; moral; reasonable	mod.		 Baga gud ini hira hin natindog ha may pulpito diin mayda nira katungod manlapdos han hin o man nga may maraot nga ginawian—magpakasasala nga kag anak, pabaya nga bana, hubya nga asawa, suwail nga anak, di maupay nga magturotdo, kurakot nga mga politiko, waray batasan nga traysikol drayber, bisan hin o nga makikit an han matadong ngan takos ha ira mga mata
matam-is	9	sweet	mod.		  An Iroy nga Tuna matam-is pagpuy-an Bisan diin siplat puros kasangkayan Hahani an hingpit nga ak kalipayan Hahani hira nanay pati kabugtuan
matapos	9		v.	mod.	 Kunta an iya, pamamatbat niya, diri ba hiya nahulat matapos it’ baton
mauli	9	1 will go home 2 to/will return something (i.e., a borrowed stuff)	v.		 \t“’Ta, kay Mahal nga Ginoo mauli na ako
maupod	9	1 will go along  2 fond of going along 	v.	mod.	 Damo an baga, kay karuyag sidngon nga baga maupod gud ha iya
nabatian	9	1 what was heard of  2 was heard	n.	v.	 Kinabuwasan, nabatian ko an pagkinagod han lubi ni Man Jess
nabuhat	9	did; works; things that one has done	n.		 Kun kilal on ka matungod hiton imo nabuhat ha sining, pasobra na la ito
nagdadara	9	carries; carrier 	v.		 Delikado an pagbabag o kun ini nagdadara hin karat an
nagkuan	9	something, anything, somebody (word used by a person when he/she can\\\'t remember or can\\\'t immediately verbalize what he/she wants to say). The affix nag- indicates past tense	v.		 Katima, nagkuan hira, naghermano
nagpadayon	9	continued	v.		 “Tinikangan ini namon dida han 1979 ngan nagpadayon na ini hasta nga natima an bug os nga tuig
nagtindog	9	built; established; erected	v.		 \tGen 12 8 Ngan binalhin hiya tikang didto ngadto ha bukid ha sinirangan han Betel, diin nagtindog han iya payag, nga an Betel ha katundan, ngan an Hai ha sinirangan ngan didto nag-tukud hiya hin halaran ha Dios, ngan nagtawag han ngaran han Dios
nakon	9	I; me; my; mine (personal pronoun used in a transitive sentence  construction (grammatical relation A)	pro.p.		 ” “Waray pa ini nakon bunyagi, pero hi Mano Kurt nasiring hi Black Beauty kuno ini
nakuha	9	was/were obtained; was/were taken	v	n.	 ” Dalagan man gud an rabbit kay nakuha na man an iya tiil didto ha bato
nalingkod	9	sitting down	v		 \tGen 18 1 Ngan an Ginoo napakita ha iya ha hirani han mga kahoy nga roble ni Mamre, han nalingkod hiya dida han ganghaan han payag han kapaso han adlaw
nam'	9	our/ours (the hearer excluded); we (the listener excluded); us (the listener excluded)	pro.p.		 ’ ngan tungod kay sundangay, waray na mag-iha ngan ako in pinmahuway pero ay kabaraka, waray ko pagdumot ngan waray maraot nga buot kay didi’n nga urukyan diri na ito gintutugot ginkakarawat ka nam dinhi hit urukyan ta bis la naiha, ngan kami nauna, maaram kami, madangat ka kay bis anu katarom tim tadi, kapaspas tim kalaksi, mas labaw nga gamhanan an eskrimador han katapusan ngan ikaw in iya gud mabibihag ngan dadad-on hinin kapantyonan… ngan Elias Olisihan, anu ngay-an an nanabo han im duelo han manok ni kamatayon nga hi tuberculosis
naruyag	9	enamored;  attracted; has liked something/someone	v.	n.	 ” Dida han ira purupungingi naruyag na la an babaye nga an ngaran hi Andrea
pader	9	wall	n.		 Kay kun may nabaton ha akon nga “amo la gihapon an Barugo,” ha akon hunahuna nasulod an kinada Domingo nga irignom, an araway han mga hubog, an bulang, an mga nagpapataya hin masyaw, an sarosarayaw, an mga parupangisda, an manangiti, an tanggero, an gumuho nga pader ha usa nga elementary school nga hasta yana ada, an natumba nga akasya o talisay, an kampanaryo han simbahan, “an resirbower” ha may sementeryo, an merkado nga ginlalangaw ha pagkakakulop hiton Domingo, an salog han Himanglos, an dagat han Carigara—amo la gihapon
